model,average_train_accuracy,average_test_accuracy,best_test_accuracy,average_training_time,average_testing_time
Logistic Regression,0.9866249546608633,0.9575839837122496,0.9623345775364778,19.731911579767864,0.031287034352620396
LDA,0.9760155966630394,0.9538513742789276,0.9606379368849678,17.975691000620525,0.042259057362874296
RBF SVM,0.9854461371055496,0.9402782490668476,0.9538513742789276,18.997836271921795,1.2706057230631511
Extra Trees,0.9998186434530286,0.9337179052143423,0.9368849677638276,23.25137734413147,0.2002537250518798
Random Forest,0.9999093217265145,0.918335029973985,0.9260264675941636,24.70900257428487,0.22111407915751138
KNN,1.0,0.883497341929646,0.9056667797760436,16.607664982477825,0.2847639719645182
