feature_selection,average_train_accuracy,average_test_accuracy,best_test_accuracy,average_training_time
RFE,0.9953980776206022,0.9409003506390681,0.9623345775364778,53.330738385518394
F-Classif,0.9892546245919478,0.9263657957244655,0.9552086868001356,3.6213616927464805
all_features,0.9892546245919478,0.9263657957244655,0.9552086868001356,3.6846417983373008
