model,average_train_accuracy,average_test_accuracy,best_test_accuracy,average_training_time,average_testing_time
Logistic Regression,0.9854007979688068,0.9554349055536703,0.9623345775364778,19.29884624481201,0.0219309329986572
LDA,0.9744740660137831,0.9521547336274176,0.9606379368849678,22.414371093114216,0.03487634658813473
RBF SVM,0.9839952847297789,0.9372242958941296,0.9538513742789276,18.36398259798686,0.8135990301767985
Extra Trees,0.9998639825897716,0.9319081551860648,0.9368849677638276,25.049389998118084,0.17338252067565915
Random Forest,0.9999093217265145,0.9178825924669156,0.9260264675941636,149.20620520909628,0.17817227045694983
KNN,1.0,0.8877954982468047,0.9056667797760436,17.950491031010944,0.1985509395599365
